  \phi      E(\phi)
0.0000  -0.98153748
0.0175  -1.00000000
0.0349  -0.98079366
0.0524  -0.98216094
0.0698  -0.98363940
0.0873  -0.96062143
0.1047  -0.98386004
0.1222  -0.95849013
0.1396  -0.98661347
0.1571  -0.97951682
0.1745  -1.00000000
0.1920  -0.98580121
0.2094  -1.00000000
0.2269  -0.97873551
0.2443  -0.94519154
0.2618  -0.95671503
0.2793  -0.93257272
0.2967  -0.96266564
0.3142  -0.94654702
0.3316  -0.93429059
0.3491  -0.93293100
0.3665  -0.96273120
0.3840  -0.95768600
0.4014  -0.96492475
0.4189  -0.95151991
0.4363  -0.98118317
0.4538  -1.00000000
0.4712  -0.87538403
0.4887  -0.88358148
0.5061  -0.95365889
0.5236  -0.95846566
0.5411  -0.92566863
0.5585  -0.88192026
0.5760  -0.88016315
0.5934  -0.83438354
0.6109  -0.87712020
0.6283  -0.96023012
0.6458  -0.90421440
0.6632  -0.85639709
0.6807  -0.84306130
0.6981  -0.82969155
0.7156  -0.82489655
0.7330  -0.80055304
0.7505  -0.82425578
0.7679  -0.87520677
0.7854  -0.78826590
0.8029  -0.83469533
0.8203  -0.89061442
0.8378  -0.75139667
0.8552  -0.76710698
0.8727  -0.84391558
0.8901  -0.82718557
0.9076  -0.72985120
0.9250  -0.77676450
0.9425  -0.74418770
0.9599  -0.56873524
0.9774  -0.83578071
0.9948  -0.76926865
1.0123  -0.79055496
1.0297  -0.79629538
1.0472  -0.69768350
1.0647  -0.52023468
1.0821  -0.70863448
1.0996  -0.58501785
1.1170  -0.65574647
1.1345  -0.63227283
1.1519  -0.65690080
1.1694  -0.67332747
1.1868  -0.68038972
1.2043  -0.62852513
1.2217  -0.68347966
1.2392  -0.71773018
1.2566  -0.66099212
1.2741  -0.41164109
1.2915  -0.67573312
1.3090  -0.57235719
1.3265  -0.59166946
1.3439  -0.64396256
1.3614  -0.48829465
1.3788  -0.60081832
1.3963  -0.32746584
1.4137  -0.44217967
1.4312  -0.51227773
1.4486  -0.40303624
1.4661  -0.35825446
1.4835  -0.45393032
1.5010  -0.42106011
1.5184  -0.40713707
1.5359  -0.16338068
1.5533  -0.02262414
1.5708  -0.29475308
1.5882  -0.20234358
1.6057  -0.25229689
1.6232  -0.34155286
1.6406  -0.38446211
1.6581  -0.45395185
1.6755  -0.40846005
1.6930  -0.17732116
1.7104  -0.28079187
1.7279  -0.04838254
1.7453  -0.10782192
1.7628  -0.07862984
1.7802  -0.13551215
1.7977  -0.31501047
1.8151  -0.36658378
1.8326  -0.01873542
1.8500  -0.18997390
1.8675  -0.11880537
1.8850   0.10694029
1.9024   0.08511476
1.9199   0.18913031
1.9373  -0.05688535
1.9548  -0.00642958
1.9722   0.08608959
1.9897   0.22644936
2.0071   0.33305550
2.0246  -0.06916297
2.0420   0.18853848
2.0595  -0.00244722
2.0769   0.29028934
2.0944   0.13510278
2.1118   0.27213184
2.1293   0.19997533
2.1468   0.25674808
2.1642   0.32192388
2.1817   0.12087227
2.1991   0.16357486
2.2166   0.47323120
2.2340   0.42642309
2.2515   0.35408699
2.2689   0.53103456
2.2864   0.13481046
2.3038   0.29113240
2.3213   0.61037142
2.3387   0.50584134
2.3562   0.46481690
2.3736   0.63855245
2.3911   0.42017342
2.4086   0.73110062
2.4260   0.47146252
2.4435   0.71022507
2.4609   0.57112050
2.4784   0.78707840
2.4958   0.60777152
2.5133   0.61156638
2.5307   0.39005943
2.5482   0.78905276
2.5656   0.71834612
2.5831   0.30969570
2.6005   0.71864191
2.6180   0.60079759
2.6354   0.84265106
2.6529   0.74149721
2.6704   0.77915331
2.6878   0.87836922
2.7053   0.85481916
2.7227   0.61641567
2.7402   0.89186255
2.7576   0.80973110
2.7751   0.62828982
2.7925   0.81774566
2.8100   0.75222756
2.8274   1.00000000
2.8449   1.00000000
2.8623   0.92382641
2.8798   0.82988743
2.8972   1.00000000
2.9147   0.70684544
2.9322   0.94127337
2.9496   0.92447805
2.9671   1.00000000
2.9845   1.00000000
3.0020   1.00000000
3.0194   1.00000000
3.0369   1.00000000
3.0543   1.00000000
3.0718   1.00000000
3.0892   1.00000000
3.1067   1.00000000
3.1241   0.94110674
3.1416   0.87032762
