  \phi      E(\phi)
0.0000  -0.97126087
0.0317  -0.96100534
0.0635  -0.95394406
0.0952  -0.96416017
0.1269  -0.95577390
0.1587  -0.95057964
0.1904  -0.94233114
0.2221  -0.93092645
0.2539  -0.90781370
0.2856  -0.90888401
0.3173  -0.89167988
0.3491  -0.86888845
0.3808  -0.85707759
0.4125  -0.85919144
0.4443  -0.82749945
0.4760  -0.81568351
0.5077  -0.79507906
0.5395  -0.78247858
0.5712  -0.75269314
0.6029  -0.72837981
0.6347  -0.71966321
0.6664  -0.67294373
0.6981  -0.65484040
0.7299  -0.61790605
0.7616  -0.60051365
0.7933  -0.54995257
0.8251  -0.56110117
0.8568  -0.49376418
0.8885  -0.46692134
0.9203  -0.46002172
0.9520  -0.41336591
0.9837  -0.36860897
1.0155  -0.39604537
1.0472  -0.29223142
1.0789  -0.26588076
1.1107  -0.25492296
1.1424  -0.23045232
1.1741  -0.22948437
1.2059  -0.17742659
1.2376  -0.12877155
1.2693  -0.08109971
1.3011  -0.03495498
1.3328  -0.04150472
1.3645  -0.02279494
1.3963   0.04369210
1.4280   0.07952305
1.4597   0.10404011
1.4915   0.12274581
1.5232   0.13947015
1.5549   0.19491811
1.5867   0.23211981
1.6184   0.23311732
1.6501   0.27033652
1.6819   0.32338983
1.7136   0.32495181
1.7453   0.37832665
1.7771   0.37801807
1.8088   0.40801439
1.8405   0.42026650
1.8723   0.47184873
1.9040   0.48859425
1.9357   0.51062271
1.9675   0.55494854
1.9992   0.56899402
2.0309   0.57792433
2.0627   0.60752311
2.0944   0.63614981
2.1261   0.64815089
2.1579   0.65961592
2.1896   0.69800651
2.2213   0.71152518
2.2531   0.72135642
2.2848   0.75164138
2.3165   0.75417988
2.3483   0.77526647
2.3800   0.81050905
2.4117   0.80804104
2.4435   0.83160241
2.4752   0.83741276
2.5069   0.85731466
2.5387   0.87947173
2.5704   0.87352699
2.6021   0.90260948
2.6339   0.89360883
2.6656   0.91886989
2.6973   0.92423981
2.7291   0.93953469
2.7608   0.94239108
2.7925   0.94342629
2.8243   0.95539202
2.8560   0.96165135
2.8877   0.97141673
2.9195   0.97188911
2.9512   0.97576610
2.9829   0.97127340
3.0147   0.97735994
3.0464   0.97744645
3.0781   0.98296378
3.1099   0.98801053
3.1416   0.98448117
