  \phi      E(\phi)
0.0000  -1.00000000
0.0317  -1.00000000
0.0635  -1.00000000
0.0952  -0.90094590
0.1269  -1.00000000
0.1587  -1.00000000
0.1904  -1.00000000
0.2221  -1.00000000
0.2539  -1.00000000
0.2856  -1.00000000
0.3173  -0.61256644
0.3491  -0.70157047
0.3808  -0.87051895
0.4125  -0.89115385
0.4443  -0.72960031
0.4760  -1.00000000
0.5077  -0.84254629
0.5395  -0.80114104
0.5712  -0.90389412
0.6029  -0.66670872
0.6347  -0.65523481
0.6664  -0.86854847
0.6981  -0.42581427
0.7299  -0.58794092
0.7616  -0.85085772
0.7933  -0.61069446
0.8251  -0.84293881
0.8568  -0.27728935
0.8885   0.11193925
0.9203  -0.68074940
0.9520  -0.30126617
0.9837  -0.18236114
1.0155   0.36062398
1.0472  -0.35647509
1.0789  -0.33390066
1.1107  -0.07450941
1.1424  -0.05067776
1.1741  -0.45261769
1.2059  -0.65165761
1.2376  -0.20571933
1.2693  -0.34790114
1.3011   0.15831954
1.3328   0.05409744
1.3645   0.13081710
1.3963   0.31924375
1.4280   0.02582892
1.4597   0.04071922
1.4915   0.14121086
1.5232   0.35713612
1.5549   0.52332136
1.5867   0.13069169
1.6184   0.38767810
1.6501   0.30531022
1.6819   0.24357210
1.7136   0.51565216
1.7453   0.16483348
1.7771   0.46420407
1.8088   0.49011627
1.8405   0.45493194
1.8723   0.04650750
1.9040   0.58921027
1.9357   0.52208425
1.9675   0.65921550
1.9992   0.60747702
2.0309   0.72114037
2.0627   0.52599350
2.0944   0.60095766
2.1261   0.72402235
2.1579   0.51052824
2.1896   0.83629818
2.2213   0.70773564
2.2531   0.83164985
2.2848   0.62016083
2.3165   0.91282285
2.3483   0.74591399
2.3800   0.71467356
2.4117   0.60655285
2.4435   0.88176088
2.4752   0.94198902
2.5069   0.83514627
2.5387   0.92799145
2.5704   0.84411382
2.6021   1.00000000
2.6339   0.96051109
2.6656   0.86395683
2.6973   0.90813779
2.7291   1.00000000
2.7608   0.95246548
2.7925   1.00000000
2.8243   0.95805465
2.8560   1.00000000
2.8877   0.94846276
2.9195   0.89163377
2.9512   1.00000000
2.9829   1.00000000
3.0147   1.00000000
3.0464   1.00000000
3.0781   1.00000000
3.1099   1.00000000
3.1416   1.00000000
