  \phi      E(\phi)
0.0000  -0.82000270
0.0175  -0.85460076
0.0349  -0.83195923
0.0524  -0.83581479
0.0698  -0.82968889
0.0873  -0.83242495
0.1047  -0.83357633
0.1222  -0.81626783
0.1396  -0.82715103
0.1571  -0.82967482
0.1745  -0.83792667
0.1920  -0.83408366
0.2094  -0.83194879
0.2269  -0.78751473
0.2443  -0.82362575
0.2618  -0.82691873
0.2793  -0.80200494
0.2967  -0.81443800
0.3142  -0.80458936
0.3316  -0.78644685
0.3491  -0.77452119
0.3665  -0.77654583
0.3840  -0.77109681
0.4014  -0.76903354
0.4189  -0.75024533
0.4363  -0.76835044
0.4538  -0.77559127
0.4712  -0.74056137
0.4887  -0.75794374
0.5061  -0.75936960
0.5236  -0.73523578
0.5411  -0.68921683
0.5585  -0.70255333
0.5760  -0.69016098
0.5934  -0.68039456
0.6109  -0.67646584
0.6283  -0.68571991
0.6458  -0.66623073
0.6632  -0.67073532
0.6807  -0.63660472
0.6981  -0.61930875
0.7156  -0.63589474
0.7330  -0.58559457
0.7505  -0.63855439
0.7679  -0.60305843
0.7854  -0.60389543
0.8029  -0.57630868
0.8203  -0.60563883
0.8378  -0.54230290
0.8552  -0.55616043
0.8727  -0.55199531
0.8901  -0.51604551
0.9076  -0.50321594
0.9250  -0.50664345
0.9425  -0.49429443
0.9599  -0.49216758
0.9774  -0.48824176
0.9948  -0.48256932
1.0123  -0.42819116
1.0297  -0.41449736
1.0472  -0.42918729
1.0647  -0.40228521
1.0821  -0.38937677
1.0996  -0.36244474
1.1170  -0.36971481
1.1345  -0.34906984
1.1519  -0.32938606
1.1694  -0.34771501
1.1868  -0.32260769
1.2043  -0.29784461
1.2217  -0.26883928
1.2392  -0.26944624
1.2566  -0.26222458
1.2741  -0.27381333
1.2915  -0.24783977
1.3090  -0.19566809
1.3265  -0.21936396
1.3439  -0.20726112
1.3614  -0.18029678
1.3788  -0.15171539
1.3963  -0.16057211
1.4137  -0.12595148
1.4312  -0.11575149
1.4486  -0.10662160
1.4661  -0.11539521
1.4835  -0.04382605
1.5010  -0.04953140
1.5184  -0.04072347
1.5359  -0.02686193
1.5533  -0.05215392
1.5708   0.00181574
1.5882   0.04758530
1.6057  -0.00339173
1.6232   0.06061504
1.6406   0.05251591
1.6581   0.09779071
1.6755   0.09371281
1.6930   0.12948345
1.7104   0.08443860
1.7279   0.15505700
1.7453   0.11243971
1.7628   0.15838509
1.7802   0.19672178
1.7977   0.19742953
1.8151   0.17271948
1.8326   0.21966676
1.8500   0.24005014
1.8675   0.24061989
1.8850   0.21917732
1.9024   0.24838758
1.9199   0.27352822
1.9373   0.25300172
1.9548   0.32760645
1.9722   0.31827484
1.9897   0.35275168
2.0071   0.35147980
2.0246   0.37369038
2.0420   0.42546815
2.0595   0.35673450
2.0769   0.41079474
2.0944   0.43722668
2.1118   0.42688474
2.1293   0.44781548
2.1468   0.52233323
2.1642   0.44907348
2.1817   0.45055204
2.1991   0.49543167
2.2166   0.52625059
2.2340   0.53133572
2.2515   0.54931133
2.2689   0.53346722
2.2864   0.54459232
2.3038   0.56893887
2.3213   0.58010801
2.3387   0.54820854
2.3562   0.59583764
2.3736   0.63149148
2.3911   0.63152953
2.4086   0.60298672
2.4260   0.64217149
2.4435   0.61990505
2.4609   0.66797223
2.4784   0.68946275
2.4958   0.66200100
2.5133   0.66593151
2.5307   0.70445780
2.5482   0.69562736
2.5656   0.72792429
2.5831   0.69059376
2.6005   0.73984023
2.6180   0.71384562
2.6354   0.74085493
2.6529   0.72884344
2.6704   0.74116479
2.6878   0.75468554
2.7053   0.78021303
2.7227   0.76111534
2.7402   0.78108994
2.7576   0.77800119
2.7751   0.78600285
2.7925   0.80626827
2.8100   0.78728699
2.8274   0.76646755
2.8449   0.79928405
2.8623   0.79952397
2.8798   0.82665437
2.8972   0.84391714
2.9147   0.81608199
2.9322   0.81497345
2.9496   0.81376580
2.9671   0.84067285
2.9845   0.84127834
3.0020   0.85096732
3.0194   0.81722726
3.0369   0.85544390
3.0543   0.84206565
3.0718   0.83741850
3.0892   0.84559083
3.1067   0.83046568
3.1241   0.83990277
3.1416   0.84534336
