  \phi      E(\phi)
0.0000  -0.66872542
0.0175  -0.62976420
0.0349  -0.87834244
0.0524  -0.41990893
0.0698  -0.69179426
0.0873  -0.67714746
0.1047  -0.72819694
0.1222  -1.00000000
0.1396  -0.72712996
0.1571  -0.47100884
0.1745  -0.48147899
0.1920   0.01119149
0.2094  -0.64988297
0.2269  -1.00000000
0.2443  -0.68613741
0.2618  -0.80626890
0.2793  -0.90737235
0.2967  -1.00000000
0.3142  -0.70711276
0.3316  -0.70650746
0.3491  -0.76221114
0.3665  -0.63816096
0.3840  -0.68712523
0.4014  -0.53369904
0.4189  -0.27194187
0.4363  -0.51128491
0.4538  -0.58216976
0.4712  -0.70333907
0.4887  -0.43572639
0.5061  -0.34917841
0.5236  -0.79705104
0.5411  -0.72672726
0.5585  -0.48648652
0.5760  -0.47318702
0.5934  -0.58471767
0.6109  -0.44552471
0.6283  -0.60855618
0.6458  -0.52542170
0.6632  -0.55757421
0.6807  -0.63488711
0.6981  -0.65605125
0.7156  -0.39782890
0.7330  -0.51289731
0.7505  -0.53447466
0.7679  -0.57327844
0.7854  -0.45290059
0.8029  -0.06536991
0.8203  -0.44001027
0.8378  -0.84542373
0.8552  -0.06788241
0.8727  -0.53142296
0.8901  -0.34631259
0.9076  -0.25583806
0.9250  -0.64135148
0.9425  -0.74288084
0.9599  -0.01987624
0.9774  -0.22241357
0.9948  -0.22883690
1.0123  -0.59720257
1.0297  -0.35827447
1.0472  -0.38294462
1.0647  -0.10402056
1.0821  -0.50432003
1.0996  -0.56454348
1.1170   0.00758534
1.1345  -0.32671283
1.1519  -0.05243021
1.1694  -0.21592046
1.1868  -0.40832158
1.2043  -0.43804463
1.2217   0.02197601
1.2392  -0.42963782
1.2566  -0.21748540
1.2741  -0.38763923
1.2915  -0.14030031
1.3090  -0.03224890
1.3265  -0.12223551
1.3439  -0.55723203
1.3614   0.11694791
1.3788  -0.12628130
1.3963  -0.23238722
1.4137  -0.14917326
1.4312  -0.28707422
1.4486  -0.05581390
1.4661   0.30533511
1.4835   0.05755523
1.5010  -0.29981736
1.5184  -0.06039440
1.5359   0.14040112
1.5533   0.29018488
1.5708   0.13428387
1.5882   0.18459194
1.6057  -0.24149612
1.6232   0.48264952
1.6406  -0.19219060
1.6581   0.03820331
1.6755   0.02164559
1.6930   0.42562891
1.7104   0.10848391
1.7279   0.24731537
1.7453   0.18035116
1.7628   0.39090744
1.7802   0.38404054
1.7977   0.10922091
1.8151   0.27746479
1.8326  -0.13092234
1.8500   0.00140781
1.8675   0.21426504
1.8850   0.32856133
1.9024   0.17078213
1.9199   0.40301724
1.9373   0.21628959
1.9548   0.18817853
1.9722   0.08320650
1.9897   0.20591685
2.0071   0.71799377
2.0246   0.09549895
2.0420  -0.09003868
2.0595   0.01462450
2.0769   0.64601847
2.0944   0.72831230
2.1118   0.64577729
2.1293   0.36165388
2.1468   0.89119263
2.1642   0.51335563
2.1817   0.49935866
2.1991   0.65585597
2.2166   0.65530672
2.2340   0.22506349
2.2515  -0.00600733
2.2689   0.76981293
2.2864   0.01616593
2.3038   0.56957903
2.3213   0.62245766
2.3387   0.71456311
2.3562   0.52823030
2.3736   0.60019660
2.3911   0.49837323
2.4086   0.12006184
2.4260   0.73313893
2.4435   0.64999466
2.4609   0.60278944
2.4784   0.58469213
2.4958   0.25886108
2.5133   0.51435568
2.5307   0.66668602
2.5482   0.77753887
2.5656   0.87168843
2.5831   0.66687345
2.6005   0.50678541
2.6180   0.57177902
2.6354   0.67261341
2.6529   0.64007410
2.6704   0.58936029
2.6878   0.46921642
2.7053   0.68634615
2.7227   0.51386370
2.7402   0.72489114
2.7576   0.77035806
2.7751   0.56672297
2.7925   0.50028561
2.8100   0.71525989
2.8274   0.58170196
2.8449   0.85153488
2.8623   0.72780978
2.8798   0.74477473
2.8972   0.57135476
2.9147   0.35844603
2.9322   0.78407210
2.9496   0.78833603
2.9671   0.52865283
2.9845   0.76526655
3.0020   0.55013963
3.0194   0.70837473
3.0369   0.89697131
3.0543   1.00000000
3.0718   0.59227169
3.0892   0.55282382
3.1067   0.54250249
3.1241   0.65063416
3.1416   0.67540536
