  \phi      E(\phi)
0.0000  -0.64728806
0.0175  -0.81777091
0.0349  -0.76784354
0.0524  -0.73058413
0.0698  -0.91463158
0.0873  -0.74005411
0.1047  -0.75567017
0.1222  -0.63656870
0.1396  -0.60515897
0.1571  -0.84597451
0.1745  -0.73774383
0.1920  -0.82550580
0.2094  -0.74554662
0.2269  -0.85677369
0.2443  -0.83208013
0.2618  -0.69265449
0.2793  -0.75096400
0.2967  -0.92191286
0.3142  -0.73278173
0.3316  -0.73182626
0.3491  -0.94637284
0.3665  -0.81821380
0.3840  -0.67370135
0.4014  -0.69409031
0.4189  -0.78566056
0.4363  -0.53409745
0.4538  -0.59606137
0.4712  -0.71538487
0.4887  -0.49234774
0.5061  -0.53835230
0.5236  -0.77896756
0.5411  -0.66626571
0.5585  -0.38195996
0.5760  -0.57983716
0.5934  -0.32202854
0.6109  -0.39150717
0.6283  -0.68257382
0.6458  -0.33405018
0.6632  -0.90222946
0.6807  -0.42710747
0.6981  -0.35452016
0.7156  -0.81936618
0.7330  -0.53437782
0.7505  -0.43959592
0.7679  -0.68075897
0.7854  -0.64294121
0.8029  -0.75914006
0.8203  -0.66724685
0.8378  -0.37341331
0.8552  -0.70742060
0.8727  -0.50551893
0.8901  -0.50388220
0.9076  -0.25802336
0.9250  -0.37073274
0.9425  -0.29758623
0.9599  -0.26633834
0.9774  -0.47062055
0.9948  -0.24226368
1.0123  -0.28946199
1.0297   0.11426202
1.0472  -0.41247361
1.0647  -0.21185940
1.0821  -0.39398164
1.0996  -0.35289701
1.1170  -0.55090436
1.1345  -0.42853021
1.1519  -0.09630666
1.1694  -0.28571429
1.1868  -0.41933587
1.2043  -0.47474985
1.2217  -0.12945144
1.2392  -0.39569177
1.2566  -0.54598141
1.2741  -0.52271715
1.2915  -0.04156153
1.3090  -0.29588279
1.3265  -0.25972235
1.3439  -0.10660104
1.3614  -0.19910326
1.3788   0.05042944
1.3963  -0.00183844
1.4137  -0.29095804
1.4312  -0.38352379
1.4486   0.21599492
1.4661  -0.11583926
1.4835  -0.14363724
1.5010  -0.06368086
1.5184   0.24180789
1.5359   0.06682827
1.5533   0.13460375
1.5708   0.16667952
1.5882   0.12206950
1.6057  -0.02672472
1.6232   0.07817626
1.6406   0.19135528
1.6581   0.37813918
1.6755  -0.16155333
1.6930  -0.04630576
1.7104   0.13009427
1.7279   0.38033782
1.7453  -0.09456889
1.7628   0.11974178
1.7802   0.46713269
1.7977   0.19702441
1.8151   0.16242054
1.8326   0.14399395
1.8500   0.02564878
1.8675   0.16913964
1.8850   0.20252301
1.9024   0.36067268
1.9199   0.19890617
1.9373   0.41478006
1.9548   0.30343493
1.9722   0.22337291
1.9897   0.33508977
2.0071   0.44208382
2.0246  -0.18438057
2.0420   0.18129527
2.0595   0.23516790
2.0769   0.40406195
2.0944   0.26870201
2.1118   0.35847367
2.1293   0.56044554
2.1468   0.42764693
2.1642   0.50187179
2.1817   0.60649013
2.1991   0.42919744
2.2166   0.15448019
2.2340   0.70336964
2.2515   0.43350864
2.2689   0.58190198
2.2864   0.33467753
2.3038   0.93129202
2.3213   0.28009985
2.3387   0.54581456
2.3562   0.49848550
2.3736   0.50565201
2.3911   0.54357977
2.4086   0.77076131
2.4260   0.50030011
2.4435   0.78174840
2.4609   0.87997939
2.4784   0.40012845
2.4958   0.57066249
2.5133   0.67022059
2.5307   0.54521598
2.5482   0.83034411
2.5656   0.58921902
2.5831   0.57869254
2.6005   0.56181360
2.6180   0.35948228
2.6354   0.73008937
2.6529   0.53418611
2.6704   0.75753732
2.6878   0.61581797
2.7053   0.77967028
2.7227   0.75838055
2.7402   0.81156523
2.7576   0.49501369
2.7751   0.80083932
2.7925   0.75294734
2.8100   0.91601818
2.8274   0.70266596
2.8449   0.71558964
2.8623   0.54022379
2.8798   0.43871873
2.8972   0.66228158
2.9147   0.67484572
2.9322   0.57053659
2.9496   0.52008611
2.9671   0.61827986
2.9845   0.83105556
3.0020   0.76540649
3.0194   0.63204131
3.0369   0.80369023
3.0543   0.64492090
3.0718   0.78362003
3.0892   0.83594359
3.1067   0.71412964
3.1241   0.71059572
3.1416   0.88990124
