  \phi      E(\phi)
0.0000  -0.83504821
0.0175  -0.86318909
0.0349  -0.81739878
0.0524  -0.84272974
0.0698  -0.85327883
0.0873  -0.83845186
0.1047  -0.80057105
0.1222  -0.85647226
0.1396  -0.82618434
0.1571  -0.86713347
0.1745  -0.82424602
0.1920  -0.80849153
0.2094  -0.80313101
0.2269  -0.76727521
0.2443  -0.81857462
0.2618  -0.84478913
0.2793  -0.77076166
0.2967  -0.83149625
0.3142  -0.77742799
0.3316  -0.79019239
0.3491  -0.77986918
0.3665  -0.79857933
0.3840  -0.80829514
0.4014  -0.74906830
0.4189  -0.75347302
0.4363  -0.76161105
0.4538  -0.72245911
0.4712  -0.70093090
0.4887  -0.68400781
0.5061  -0.75891233
0.5236  -0.76918987
0.5411  -0.76315928
0.5585  -0.69596812
0.5760  -0.66394677
0.5934  -0.71668345
0.6109  -0.74515016
0.6283  -0.71863130
0.6458  -0.65131139
0.6632  -0.69100065
0.6807  -0.67227261
0.6981  -0.64247799
0.7156  -0.61589463
0.7330  -0.64610990
0.7505  -0.58606284
0.7679  -0.61410626
0.7854  -0.61618132
0.8029  -0.60362674
0.8203  -0.60477719
0.8378  -0.55049153
0.8552  -0.50802933
0.8727  -0.56885380
0.8901  -0.56151426
0.9076  -0.56818398
0.9250  -0.51783412
0.9425  -0.55282632
0.9599  -0.49777819
0.9774  -0.55129238
0.9948  -0.46482350
1.0123  -0.51567560
1.0297  -0.47466352
1.0472  -0.41968507
1.0647  -0.33055509
1.0821  -0.39785693
1.0996  -0.42787613
1.1170  -0.36722898
1.1345  -0.37714547
1.1519  -0.32794223
1.1694  -0.35453405
1.1868  -0.32546754
1.2043  -0.40091529
1.2217  -0.35088746
1.2392  -0.29580053
1.2566  -0.20636409
1.2741  -0.17267636
1.2915  -0.13221802
1.3090  -0.26450435
1.3265  -0.13370492
1.3439  -0.16333205
1.3614  -0.13719457
1.3788  -0.17315326
1.3963  -0.09324292
1.4137  -0.14865376
1.4312  -0.12384924
1.4486  -0.12186646
1.4661  -0.09716217
1.4835  -0.14394936
1.5010  -0.03594284
1.5184  -0.03248589
1.5359  -0.08497025
1.5533  -0.06022048
1.5708   0.02985245
1.5882   0.05100701
1.6057   0.06125186
1.6232  -0.00379225
1.6406   0.04077975
1.6581   0.07719751
1.6755   0.01505033
1.6930   0.01607574
1.7104   0.10257063
1.7279   0.09355480
1.7453   0.10597074
1.7628   0.17084232
1.7802   0.11604226
1.7977   0.18011294
1.8151   0.29484884
1.8326   0.24665623
1.8500   0.22867437
1.8675   0.29104628
1.8850   0.33423735
1.9024   0.26091383
1.9199   0.29497875
1.9373   0.32554365
1.9548   0.25571420
1.9722   0.36244256
1.9897   0.42004945
2.0071   0.29700926
2.0246   0.44271938
2.0420   0.44545140
2.0595   0.35707776
2.0769   0.37457338
2.0944   0.43770344
2.1118   0.48293429
2.1293   0.44015901
2.1468   0.44895386
2.1642   0.52153035
2.1817   0.52340009
2.1991   0.47599430
2.2166   0.52351497
2.2340   0.48914768
2.2515   0.54791256
2.2689   0.59165509
2.2864   0.50865848
2.3038   0.57076855
2.3213   0.55308004
2.3387   0.57305238
2.3562   0.57927238
2.3736   0.61186363
2.3911   0.62658252
2.4086   0.64796122
2.4260   0.67249155
2.4435   0.65725161
2.4609   0.61239770
2.4784   0.67223532
2.4958   0.59693372
2.5133   0.69300370
2.5307   0.66439139
2.5482   0.64488047
2.5656   0.68793940
2.5831   0.69199824
2.6005   0.74554771
2.6180   0.69934042
2.6354   0.74995644
2.6529   0.71585227
2.6704   0.72429475
2.6878   0.76293213
2.7053   0.75391590
2.7227   0.79377709
2.7402   0.78131052
2.7576   0.79348629
2.7751   0.82760430
2.7925   0.77395063
2.8100   0.79914573
2.8274   0.79460215
2.8449   0.77426469
2.8623   0.82307981
2.8798   0.77247928
2.8972   0.77731516
2.9147   0.82650969
2.9322   0.79278181
2.9496   0.86487692
2.9671   0.80361616
2.9845   0.85939681
3.0020   0.87810234
3.0194   0.85579189
3.0369   0.85645583
3.0543   0.82722276
3.0718   0.86629593
3.0892   0.83910722
3.1067   0.85042798
3.1241   0.82672671
3.1416   0.82058424
