  \phi      E(\phi)
0.0000  -0.68137642
0.0175  -0.73924391
0.0349  -0.87949069
0.0524  -0.94430645
0.0698  -0.92372201
0.0873  -0.68448375
0.1047  -1.00000000
0.1222  -0.72837193
0.1396  -0.94283982
0.1571  -0.78470742
0.1745  -0.86627141
0.1920  -0.69461958
0.2094  -0.91727687
0.2269  -0.92556834
0.2443  -0.70659892
0.2618  -0.92721170
0.2793  -0.65281336
0.2967  -1.00000000
0.3142  -0.88206433
0.3316  -0.67685647
0.3491  -0.59984613
0.3665  -0.61507563
0.3840  -0.60271568
0.4014  -0.86160357
0.4189  -0.85099624
0.4363  -0.81451817
0.4538  -0.90843155
0.4712  -0.71837447
0.4887  -0.80238216
0.5061  -0.88964271
0.5236  -1.00000000
0.5411  -0.58056684
0.5585  -0.62734696
0.5760  -0.49766460
0.5934  -0.61814444
0.6109  -0.35867288
0.6283  -0.64010731
0.6458  -0.49945127
0.6632  -0.60691709
0.6807  -0.76668269
0.6981  -0.41052562
0.7156  -0.84821802
0.7330  -0.59625048
0.7505  -1.00000000
0.7679  -0.75657853
0.7854  -0.67065882
0.8029  -0.58733706
0.8203  -0.41588975
0.8378  -0.54333787
0.8552  -0.43162314
0.8727  -0.56502049
0.8901  -0.49322431
0.9076  -0.61813711
0.9250  -0.43032732
0.9425  -0.42103401
0.9599  -0.69537434
0.9774  -0.49536313
0.9948  -0.64287813
1.0123  -0.36774125
1.0297  -0.75312973
1.0472  -0.44804402
1.0647  -0.37390498
1.0821  -0.56863618
1.0996  -0.28244521
1.1170  -0.30271644
1.1345  -0.17807163
1.1519  -0.52124719
1.1694  -0.46484386
1.1868  -0.24941957
1.2043  -0.44865353
1.2217  -0.25421877
1.2392  -0.09474048
1.2566  -0.14957051
1.2741   0.06954731
1.2915  -0.29100569
1.3090  -0.24267639
1.3265  -0.11585996
1.3439   0.13218391
1.3614  -0.41936058
1.3788  -0.32581290
1.3963  -0.61008686
1.4137  -0.09367198
1.4312   0.26853403
1.4486  -0.09970447
1.4661  -0.22632010
1.4835   0.09523584
1.5010  -0.36581502
1.5184   0.16316603
1.5359   0.06761315
1.5533  -0.03620680
1.5708   0.21520258
1.5882  -0.13116478
1.6057  -0.38055871
1.6232  -0.24528849
1.6406   0.34711416
1.6581   0.29353532
1.6755   0.40097317
1.6930  -0.14282962
1.7104   0.07688068
1.7279   0.05035875
1.7453   0.38441720
1.7628   0.18373600
1.7802   0.14108122
1.7977  -0.16665580
1.8151   0.03779602
1.8326   0.16686698
1.8500   0.13396723
1.8675   0.52920762
1.8850   0.69053179
1.9024   0.24250856
1.9199  -0.21333788
1.9373   0.41632741
1.9548   0.36193016
1.9722   0.30834695
1.9897   0.56514673
2.0071   0.34747485
2.0246   0.17098090
2.0420   0.58621620
2.0595   0.43877357
2.0769   0.75391713
2.0944   0.38915039
2.1118   0.30168058
2.1293   0.57186452
2.1468   0.60121060
2.1642   0.69176519
2.1817   0.77361093
2.1991   0.19220422
2.2166   0.71522813
2.2340   0.58615304
2.2515   0.42967979
2.2689   0.55276613
2.2864   0.47420973
2.3038   0.46886140
2.3213   0.67562193
2.3387   0.60453023
2.3562   0.77549352
2.3736   0.68053091
2.3911   0.13160555
2.4086   0.44987444
2.4260   0.67436684
2.4435   0.69986374
2.4609   0.79112514
2.4784   0.67510733
2.4958   0.64969923
2.5133   0.79763529
2.5307   0.60782205
2.5482   0.47195799
2.5656   0.69718713
2.5831   0.78505298
2.6005   0.51752049
2.6180   0.48822261
2.6354   1.00000000
2.6529   0.91989244
2.6704   0.84262384
2.6878   0.81817002
2.7053   0.86945224
2.7227   0.57086678
2.7402   0.80791728
2.7576   0.83075529
2.7751   0.74211433
2.7925   0.92851364
2.8100   0.65284982
2.8274   0.74183225
2.8449   0.85430777
2.8623   0.71347833
2.8798   0.67022927
2.8972   0.90043742
2.9147   0.92788462
2.9322   1.00000000
2.9496   0.92298391
2.9671   0.69280992
2.9845   0.88651274
3.0020   0.71973777
3.0194   0.87886421
3.0369   0.68076864
3.0543   0.49516552
3.0718   0.80998716
3.0892   1.00000000
3.1067   0.84678278
3.1241   0.82298879
3.1416   0.77837295
