  \phi      E(\phi)
0.0000  -0.37415461
0.0175  -0.36314171
0.0349  -0.39886320
0.0524  -0.40827647
0.0698  -0.32644984
0.0873  -0.36637140
0.1047  -0.41613846
0.1222  -0.38913627
0.1396  -0.38291949
0.1571  -0.39605153
0.1745  -0.39583350
0.1920  -0.37612571
0.2094  -0.42948509
0.2269  -0.38245057
0.2443  -0.31628513
0.2618  -0.37074306
0.2793  -0.37264166
0.2967  -0.36495559
0.3142  -0.34662670
0.3316  -0.38138862
0.3491  -0.35901782
0.3665  -0.33364629
0.3840  -0.39232044
0.4014  -0.45428318
0.4189  -0.40363992
0.4363  -0.36548196
0.4538  -0.33903623
0.4712  -0.39358347
0.4887  -0.32475415
0.5061  -0.35421615
0.5236  -0.32719546
0.5411  -0.35530766
0.5585  -0.31969227
0.5760  -0.38224237
0.5934  -0.35998385
0.6109  -0.36541571
0.6283  -0.40920555
0.6458  -0.35101162
0.6632  -0.34995564
0.6807  -0.34904166
0.6981  -0.36265127
0.7156  -0.35749984
0.7330  -0.32992653
0.7505  -0.36409429
0.7679  -0.32349588
0.7854  -0.32383607
0.8029  -0.30805565
0.8203  -0.32031186
0.8378  -0.31409250
0.8552  -0.29125986
0.8727  -0.32165870
0.8901  -0.29019115
0.9076  -0.30633485
0.9250  -0.29620877
0.9425  -0.26665329
0.9599  -0.34110414
0.9774  -0.26402765
0.9948  -0.31234993
1.0123  -0.23767383
1.0297  -0.23862725
1.0472  -0.27359414
1.0647  -0.23413445
1.0821  -0.22515556
1.0996  -0.28159399
1.1170  -0.28344883
1.1345  -0.26842643
1.1519  -0.26207414
1.1694  -0.24776083
1.1868  -0.19097660
1.2043  -0.23704894
1.2217  -0.17063084
1.2392  -0.25198686
1.2566  -0.25187131
1.2741  -0.26133315
1.2915  -0.18470400
1.3090  -0.16670886
1.3265  -0.13190904
1.3439  -0.15180048
1.3614  -0.20011780
1.3788  -0.20235482
1.3963  -0.11858150
1.4137  -0.14779521
1.4312  -0.17234121
1.4486  -0.13982950
1.4661  -0.15802288
1.4835  -0.16352814
1.5010  -0.18041761
1.5184  -0.11774242
1.5359  -0.15859547
1.5533  -0.10007039
1.5708  -0.14693448
1.5882  -0.15958140
1.6057  -0.13164998
1.6232  -0.10501916
1.6406  -0.12811787
1.6581  -0.10144443
1.6755  -0.11245049
1.6930  -0.07229646
1.7104  -0.05907672
1.7279  -0.11467532
1.7453  -0.06630712
1.7628  -0.06041874
1.7802  -0.05290958
1.7977   0.03440760
1.8151  -0.02134091
1.8326  -0.04229310
1.8500  -0.05158908
1.8675  -0.03554766
1.8850  -0.01117620
1.9024   0.00603828
1.9199  -0.04888762
1.9373   0.00055690
1.9548   0.01842229
1.9722   0.04231099
1.9897   0.00277392
2.0071  -0.00055783
2.0246   0.02835100
2.0420   0.02124291
2.0595   0.06085348
2.0769   0.03010367
2.0944   0.02252523
2.1118   0.03063812
2.1293   0.04336805
2.1468   0.08083218
2.1642   0.05575610
2.1817   0.11186857
2.1991   0.00437687
2.2166   0.04322225
2.2340   0.08206557
2.2515   0.12533357
2.2689   0.08804356
2.2864   0.09077417
2.3038   0.11139687
2.3213   0.12129086
2.3387   0.07176324
2.3562   0.15274251
2.3736   0.07560937
2.3911   0.13592554
2.4086   0.17300362
2.4260   0.15806508
2.4435   0.12673856
2.4609   0.07637361
2.4784   0.17287452
2.4958   0.14793461
2.5133   0.14888269
2.5307   0.13470481
2.5482   0.15492548
2.5656   0.20428198
2.5831   0.18550366
2.6005   0.19745604
2.6180   0.15953117
2.6354   0.20116684
2.6529   0.20906659
2.6704   0.20963067
2.6878   0.15781056
2.7053   0.23373119
2.7227   0.20479961
2.7402   0.19331012
2.7576   0.20654396
2.7751   0.21191562
2.7925   0.23367748
2.8100   0.24850862
2.8274   0.23902583
2.8449   0.24661071
2.8623   0.25986901
2.8798   0.16278543
2.8972   0.22409755
2.9147   0.21875211
2.9322   0.24992882
2.9496   0.22367049
2.9671   0.25433126
2.9845   0.25748630
3.0020   0.20238971
3.0194   0.27400393
3.0369   0.25425674
3.0543   0.23256043
3.0718   0.22883180
3.0892   0.22983132
3.1067   0.22250420
3.1241   0.19372445
3.1416   0.23051362
