  \phi      E(\phi)
0.0000  -0.40444366
0.0175  -0.39663642
0.0349  -0.40695082
0.0524  -0.38322587
0.0698  -0.40412880
0.0873  -0.40535089
0.1047  -0.40855287
0.1222  -0.38566739
0.1396  -0.40744006
0.1571  -0.38140006
0.1745  -0.39910190
0.1920  -0.39581690
0.2094  -0.42161550
0.2269  -0.38102261
0.2443  -0.40930004
0.2618  -0.39299032
0.2793  -0.39867837
0.2967  -0.39583333
0.3142  -0.38209147
0.3316  -0.38473945
0.3491  -0.39220806
0.3665  -0.38981449
0.3840  -0.39476844
0.4014  -0.37237494
0.4189  -0.38262703
0.4363  -0.37949722
0.4538  -0.38451106
0.4712  -0.37140468
0.4887  -0.36012916
0.5061  -0.38207192
0.5236  -0.35980305
0.5411  -0.37171169
0.5585  -0.36973108
0.5760  -0.37996330
0.5934  -0.37072091
0.6109  -0.36403709
0.6283  -0.35244031
0.6458  -0.35759052
0.6632  -0.34436278
0.6807  -0.33147988
0.6981  -0.32944653
0.7156  -0.34086359
0.7330  -0.31921009
0.7505  -0.33016072
0.7679  -0.33085453
0.7854  -0.33783454
0.8029  -0.33609513
0.8203  -0.31476113
0.8378  -0.32360862
0.8552  -0.32165797
0.8727  -0.31762544
0.8901  -0.29836952
0.9076  -0.31840804
0.9250  -0.31915390
0.9425  -0.30753346
0.9599  -0.30105709
0.9774  -0.28897865
0.9948  -0.29378717
1.0123  -0.28628358
1.0297  -0.25035597
1.0472  -0.28656848
1.0647  -0.29343153
1.0821  -0.27181324
1.0996  -0.26043342
1.1170  -0.23807210
1.1345  -0.25589934
1.1519  -0.26022310
1.1694  -0.25185471
1.1868  -0.22598544
1.2043  -0.24164888
1.2217  -0.22598467
1.2392  -0.22379518
1.2566  -0.23113052
1.2741  -0.21536469
1.2915  -0.19918782
1.3090  -0.18790664
1.3265  -0.21016904
1.3439  -0.19539308
1.3614  -0.18801718
1.3788  -0.17153566
1.3963  -0.18612725
1.4137  -0.19197949
1.4312  -0.16816275
1.4486  -0.15691586
1.4661  -0.16000752
1.4835  -0.14580494
1.5010  -0.14431709
1.5184  -0.12562395
1.5359  -0.13870515
1.5533  -0.12830409
1.5708  -0.12391985
1.5882  -0.10938132
1.6057  -0.12804133
1.6232  -0.08188253
1.6406  -0.11419114
1.6581  -0.09283112
1.6755  -0.09479078
1.6930  -0.07821323
1.7104  -0.06438146
1.7279  -0.06726265
1.7453  -0.08637806
1.7628  -0.05872485
1.7802  -0.05682519
1.7977  -0.05040791
1.8151  -0.05942118
1.8326  -0.03706817
1.8500  -0.03626327
1.8675  -0.01487054
1.8850  -0.03411674
1.9024  -0.00620522
1.9199  -0.00656150
1.9373  -0.01334618
1.9548   0.01326592
1.9722   0.02151103
1.9897   0.01334935
2.0071   0.02671244
2.0246   0.02417005
2.0420   0.03171033
2.0595   0.04101772
2.0769   0.04578764
2.0944   0.06913028
2.1118   0.06450762
2.1293   0.06806622
2.1468   0.08154824
2.1642   0.09646758
2.1817   0.07271158
2.1991   0.08452977
2.2166   0.08419425
2.2340   0.10405076
2.2515   0.10900309
2.2689   0.09994927
2.2864   0.11536061
2.3038   0.11261099
2.3213   0.12981849
2.3387   0.12260718
2.3562   0.15198312
2.3736   0.13482658
2.3911   0.14460576
2.4086   0.13986627
2.4260   0.15518938
2.4435   0.15423102
2.4609   0.16399417
2.4784   0.16075845
2.4958   0.16655551
2.5133   0.16275629
2.5307   0.17295553
2.5482   0.15844411
2.5656   0.16691755
2.5831   0.18555519
2.6005   0.19303677
2.6180   0.19862878
2.6354   0.19893451
2.6529   0.21388026
2.6704   0.20628682
2.6878   0.21267023
2.7053   0.20855185
2.7227   0.20634773
2.7402   0.22597060
2.7576   0.22895648
2.7751   0.22056990
2.7925   0.22826813
2.8100   0.22056743
2.8274   0.23208660
2.8449   0.24477968
2.8623   0.23045234
2.8798   0.21008467
2.8972   0.26585219
2.9147   0.24466276
2.9322   0.24539824
2.9496   0.24160554
2.9671   0.23326059
2.9845   0.23432351
3.0020   0.24398082
3.0194   0.24196001
3.0369   0.24304592
3.0543   0.24530722
3.0718   0.25443127
3.0892   0.23423051
3.1067   0.24582820
3.1241   0.23795743
3.1416   0.24533463
