  \phi      E(\phi)
0.0000  -0.36400772
0.0175  -0.37635852
0.0349  -0.40863282
0.0524  -0.41562423
0.0698  -0.38214247
0.0873  -0.34760784
0.1047  -0.36706308
0.1222  -0.38068332
0.1396  -0.40829661
0.1571  -0.45683394
0.1745  -0.41143794
0.1920  -0.39201094
0.2094  -0.36863262
0.2269  -0.41237862
0.2443  -0.42758764
0.2618  -0.39545693
0.2793  -0.38264199
0.2967  -0.38376967
0.3142  -0.37848305
0.3316  -0.39980592
0.3491  -0.39454734
0.3665  -0.42256364
0.3840  -0.39563073
0.4014  -0.35609506
0.4189  -0.33338444
0.4363  -0.38193822
0.4538  -0.36764553
0.4712  -0.41276292
0.4887  -0.41268345
0.5061  -0.34445319
0.5236  -0.37974058
0.5411  -0.40031796
0.5585  -0.39956887
0.5760  -0.36371481
0.5934  -0.39573723
0.6109  -0.33622156
0.6283  -0.35198209
0.6458  -0.37268861
0.6632  -0.34456087
0.6807  -0.33144957
0.6981  -0.35786177
0.7156  -0.31794227
0.7330  -0.34922197
0.7505  -0.37086665
0.7679  -0.34260251
0.7854  -0.30910174
0.8029  -0.30092926
0.8203  -0.31813693
0.8378  -0.28860189
0.8552  -0.28696141
0.8727  -0.34469513
0.8901  -0.27984117
0.9076  -0.29589546
0.9250  -0.31306919
0.9425  -0.31978656
0.9599  -0.27662534
0.9774  -0.25567455
0.9948  -0.27797533
1.0123  -0.30409792
1.0297  -0.29469152
1.0472  -0.28696073
1.0647  -0.29531112
1.0821  -0.25702118
1.0996  -0.30953362
1.1170  -0.26759157
1.1345  -0.23212162
1.1519  -0.19971012
1.1694  -0.21950371
1.1868  -0.24551402
1.2043  -0.23817949
1.2217  -0.21760160
1.2392  -0.21391968
1.2566  -0.18490097
1.2741  -0.22837668
1.2915  -0.22274993
1.3090  -0.22293207
1.3265  -0.17010156
1.3439  -0.22238350
1.3614  -0.18107051
1.3788  -0.18997907
1.3963  -0.16837427
1.4137  -0.17772559
1.4312  -0.19352118
1.4486  -0.17736627
1.4661  -0.17861021
1.4835  -0.10802854
1.5010  -0.11148107
1.5184  -0.09547808
1.5359  -0.12241378
1.5533  -0.12957057
1.5708  -0.14361595
1.5882  -0.08052844
1.6057  -0.08993447
1.6232  -0.12445933
1.6406  -0.08162783
1.6581  -0.12732838
1.6755  -0.07486299
1.6930  -0.05079478
1.7104  -0.11255198
1.7279  -0.04375876
1.7453  -0.08163225
1.7628  -0.05699224
1.7802  -0.06591953
1.7977  -0.03071411
1.8151   0.00104446
1.8326  -0.01395269
1.8500  -0.07059948
1.8675  -0.00912805
1.8850   0.02099276
1.9024   0.00966475
1.9199   0.02395246
1.9373  -0.04120498
1.9548   0.05100821
1.9722  -0.00990997
1.9897   0.00449865
2.0071   0.02823755
2.0246   0.04258706
2.0420   0.03750684
2.0595   0.04243922
2.0769   0.04324718
2.0944   0.05687116
2.1118   0.06800288
2.1293   0.04043710
2.1468   0.08524221
2.1642   0.06606483
2.1817   0.04545293
2.1991   0.07168270
2.2166   0.07315129
2.2340   0.09002296
2.2515   0.10616448
2.2689   0.09994682
2.2864   0.07830341
2.3038   0.12892230
2.3213   0.12618558
2.3387   0.17697148
2.3562   0.11654878
2.3736   0.11964958
2.3911   0.11651053
2.4086   0.12426719
2.4260   0.16970370
2.4435   0.14329316
2.4609   0.15392941
2.4784   0.17608698
2.4958   0.14562432
2.5133   0.17489080
2.5307   0.18544519
2.5482   0.17782781
2.5656   0.16461918
2.5831   0.19107510
2.6005   0.19487205
2.6180   0.20992072
2.6354   0.18372899
2.6529   0.18247083
2.6704   0.22269532
2.6878   0.20271607
2.7053   0.20641935
2.7227   0.20968746
2.7402   0.18694210
2.7576   0.21565322
2.7751   0.20791664
2.7925   0.24978688
2.8100   0.22530191
2.8274   0.25618255
2.8449   0.23856354
2.8623   0.24425596
2.8798   0.23536905
2.8972   0.24345234
2.9147   0.24179089
2.9322   0.20694966
2.9496   0.23378997
2.9671   0.26466117
2.9845   0.24312818
3.0020   0.20008026
3.0194   0.23258830
3.0369   0.24557531
3.0543   0.23199894
3.0718   0.21621988
3.0892   0.24583780
3.1067   0.23615950
3.1241   0.24730280
3.1416   0.23969062
