  \phi      E(\phi)
0.0000  -1.00000000
0.0175  -1.00000000
0.0349  -0.97581813
0.0524  -1.00000000
0.0698  -0.98962936
0.0873  -0.96567781
0.1047  -0.97080705
0.1222  -1.00000000
0.1396  -0.95368149
0.1571  -0.96698041
0.1745  -1.00000000
0.1920  -1.00000000
0.2094  -1.00000000
0.2269  -0.98799465
0.2443  -0.97969610
0.2618  -0.98154633
0.2793  -1.00000000
0.2967  -0.91605132
0.3142  -0.97612999
0.3316  -0.89987442
0.3491  -0.90249143
0.3665  -0.95079792
0.3840  -0.87971634
0.4014  -0.93813702
0.4189  -0.94665735
0.4363  -0.90616190
0.4538  -0.92820670
0.4712  -0.92222851
0.4887  -0.88878929
0.5061  -0.88822510
0.5236  -0.87612286
0.5411  -0.92776606
0.5585  -0.94388895
0.5760  -0.75951118
0.5934  -0.82550302
0.6109  -0.88513111
0.6283  -0.88198196
0.6458  -0.84907670
0.6632  -0.92138864
0.6807  -0.86732568
0.6981  -0.88786096
0.7156  -0.86992738
0.7330  -0.74950160
0.7505  -0.77332636
0.7679  -0.85965494
0.7854  -0.80661442
0.8029  -0.79935890
0.8203  -0.82418310
0.8378  -0.76528261
0.8552  -0.77711318
0.8727  -0.76731003
0.8901  -0.75260568
0.9076  -0.75067411
0.9250  -0.79909181
0.9425  -0.73589729
0.9599  -0.69345577
0.9774  -0.70058930
0.9948  -0.69205026
1.0123  -0.75839233
1.0297  -0.70919073
1.0472  -0.72883007
1.0647  -0.67683946
1.0821  -0.64438917
1.0996  -0.74942489
1.1170  -0.65985117
1.1345  -0.55620043
1.1519  -0.75711966
1.1694  -0.54967346
1.1868  -0.67532822
1.2043  -0.66673453
1.2217  -0.62983447
1.2392  -0.61851516
1.2566  -0.63322564
1.2741  -0.49938378
1.2915  -0.54120654
1.3090  -0.61403784
1.3265  -0.53796182
1.3439  -0.44625735
1.3614  -0.33801381
1.3788  -0.42608137
1.3963  -0.56031437
1.4137  -0.52553059
1.4312  -0.44129960
1.4486  -0.34339304
1.4661  -0.39974892
1.4835  -0.35580576
1.5010  -0.39509570
1.5184  -0.43569900
1.5359  -0.23718589
1.5533  -0.32058639
1.5708  -0.35965759
1.5882  -0.35159698
1.6057  -0.36976847
1.6232  -0.10914472
1.6406  -0.23234920
1.6581  -0.04536292
1.6755  -0.43054685
1.6930  -0.13077034
1.7104  -0.08234669
1.7279  -0.23523215
1.7453  -0.12677837
1.7628  -0.07690756
1.7802  -0.07719554
1.7977  -0.33551294
1.8151   0.01358362
1.8326  -0.12527811
1.8500   0.06414517
1.8675   0.04375297
1.8850  -0.07871874
1.9024   0.08840455
1.9199   0.19286315
1.9373  -0.06258206
1.9548   0.17170347
1.9722   0.01868728
1.9897   0.04262757
2.0071   0.27686381
2.0246   0.24772746
2.0420   0.03008355
2.0595   0.23203725
2.0769   0.12550888
2.0944   0.45201030
2.1118   0.09344237
2.1293   0.19524099
2.1468   0.24488850
2.1642   0.35953499
2.1817   0.47242703
2.1991   0.04226724
2.2166   0.13569472
2.2340   0.41561273
2.2515   0.42085544
2.2689   0.32504531
2.2864   0.29744331
2.3038   0.24156667
2.3213   0.51882670
2.3387   0.66551412
2.3562   0.59716577
2.3736   0.53232609
2.3911   0.48544414
2.4086   0.48418709
2.4260   0.45795515
2.4435   0.73817062
2.4609   0.50895707
2.4784   0.66758816
2.4958   0.54340109
2.5133   0.58441385
2.5307   0.70372484
2.5482   0.73397572
2.5656   0.62131598
2.5831   0.77232394
2.6005   0.75095863
2.6180   0.64957787
2.6354   0.72549158
2.6529   0.78511147
2.6704   0.64159415
2.6878   0.84588367
2.7053   0.80673380
2.7227   0.66949735
2.7402   0.76042727
2.7576   0.75940636
2.7751   0.77813896
2.7925   0.78242031
2.8100   0.92460301
2.8274   0.83621780
2.8449   0.77330468
2.8623   0.71003118
2.8798   1.00000000
2.8972   0.83385362
2.9147   0.92744556
2.9322   1.00000000
2.9496   1.00000000
2.9671   0.91422285
2.9845   0.92281668
3.0020   0.85427143
3.0194   0.88240597
3.0369   0.84187747
3.0543   0.95766383
3.0718   1.00000000
3.0892   1.00000000
3.1067   0.90883278
3.1241   1.00000000
3.1416   1.00000000
